
districtName                          stateName
------------                          ---------
Nicobars                              Andaman & Nicobar
South Andaman                         Andaman & Nicobar
North And Middle Andaman              Andaman And Nicobar
Alluri Sitharama Raju                 Andhra Pradesh
Anakapalli                            Andhra Pradesh
Anantapur                             Andhra Pradesh
Annamayya                             Andhra Pradesh
Bapatla                               Andhra Pradesh
Chittoor                              Andhra Pradesh
East Godavari                         Andhra Pradesh
Eluru                                 Andhra Pradesh
Guntur                                Andhra Pradesh
Kakinada                              Andhra Pradesh
Konaseema                             Andhra Pradesh
Krishna                               Andhra Pradesh
Kurnool                               Andhra Pradesh
Nandyal                               Andhra Pradesh
Nellore                               Andhra Pradesh
Ntr                                   Andhra Pradesh
Palnadu                               Andhra Pradesh
Parvathipuram Manyam                  Andhra Pradesh
Prakasam                              Andhra Pradesh
Sri Sathya Sai                        Andhra Pradesh
Srikakulam                            Andhra Pradesh
Tirupati                              Andhra Pradesh
Visakhapatanam                        Andhra Pradesh
Vizianagaram                          Andhra Pradesh
West Godavari                         Andhra Pradesh
Y.s.r                                 Andhra Pradesh
Anjaw                                 Arunachal Pradesh
Changlang                             Arunachal Pradesh
East Kameng                           Arunachal Pradesh
East Siang                            Arunachal Pradesh
Kamle                                 Arunachal Pradesh
Kra-daadi                             Arunachal Pradesh
Kurung Kumey                          Arunachal Pradesh
Leparada                              Arunachal Pradesh
Lohit                                 Arunachal Pradesh
Longding                              Arunachal Pradesh
Lower Dibang Valley                   Arunachal Pradesh
Lower Siang                           Arunachal Pradesh
Lower Subansiri                       Arunachal Pradesh
Namsai                                Arunachal Pradesh
Pakke Kessang                         Arunachal Pradesh
Papum Pare                            Arunachal Pradesh
Shi Yomi                              Arunachal Pradesh
Siang                                 Arunachal Pradesh
Tawang                                Arunachal Pradesh
Tirap                                 Arunachal Pradesh
Upper Dibang Valley                   Arunachal Pradesh
Upper Siang                           Arunachal Pradesh
Upper Subansiri                       Arunachal Pradesh
West Kameng                           Arunachal Pradesh
West Siang                            Arunachal Pradesh
Bajali                                Assam
Baksa                                 Assam
Barpeta                               Assam
Biswanath                             Assam
Bongaigaon                            Assam
Cachar                                Assam
Charaideo                             Assam
Chirang                               Assam
Darrang                               Assam
Dhemaji                               Assam
Dhubri                                Assam
Dibrugarh                             Assam
Dima Hasao                            Assam
Goalpara                              Assam
Golaghat                              Assam
Hailakandi                            Assam
Hojai                                 Assam
Jorhat                                Assam
Kamrup                                Assam
Kamrup (metro)                        Assam
Karbi Anglong                         Assam
Karimganj                             Assam
Kokrajhar                             Assam
Lakhimpur                             Assam
Majuli                                Assam
Morigaon                              Assam
Nagaon                                Assam
Nalbari                               Assam
Sivasagar                             Assam
Sonitpur                              Assam
South Salmara-mankachar               Assam
Tamulpur                              Assam
Tinsukia                              Assam
Udalguri                              Assam
West Karbi Anglong                    Assam
Araria                                Bihar
Arwal                                 Bihar
Auranagabad                           Bihar
Banka                                 Bihar
Begusarai                             Bihar
Bhagalpur                             Bihar
Bhojpur                               Bihar
Buxar                                 Bihar
Darbhanga                             Bihar
Gaya                                  Bihar
Gopalganj                             Bihar
Jamui                                 Bihar
Jehanabad                             Bihar
Kaimur (bhabua)                       Bihar
Katihar                               Bihar
Khagaria                              Bihar
Kishanganj                            Bihar
Lakhisarai                            Bihar
Madhepura                             Bihar
Madhubani                             Bihar
Munger                                Bihar
Muzaffarpur                           Bihar
Nalanda                               Bihar
Nawada                                Bihar
Pashchim Champaran                    Bihar
Patna                                 Bihar
Purbi Champaran                       Bihar
Purnia                                Bihar
Rohtas                                Bihar
Saharsa                               Bihar
Samastipur                            Bihar
Saran                                 Bihar
Sarangarh Bilaigarh                   Bihar
Sheikhpura                            Bihar
Sheohar                               Bihar
Sitamarhi                             Bihar
Siwan                                 Bihar
Supaul                                Bihar
Vaishali                              Bihar
Balod                                 Chhattisgarh
Baloda Bazar                          Chhattisgarh
Balrampur                             Chhattisgarh
Bastar                                Chhattisgarh
Bemetara                              Chhattisgarh
Bijapur                               Chhattisgarh
Bilaspur                              Chhattisgarh
Dantewada                             Chhattisgarh
Dhamtari                              Chhattisgarh
Durg                                  Chhattisgarh
Gariyaband                            Chhattisgarh
Gaurela Pendra Marwahi                Chhattisgarh
Janjgir-champa                        Chhattisgarh
Jashpur                               Chhattisgarh
Kanker                                Chhattisgarh
Kawardha                              Chhattisgarh
Khairagarh Chhuikhadan Gandai         Chhattisgarh
Kondagaon                             Chhattisgarh
Korba                                 Chhattisgarh
Korea                                 Chhattisgarh
Mahasamund                            Chhattisgarh
Manendragarh Chirmiri Bharatpur       Chhattisgarh
Mohla Manpur Ambagarh Chowki          Chhattisgarh
Mungeli                               Chhattisgarh
Narayanpur                            Chhattisgarh
Raigarh                               Chhattisgarh
Raipur                                Chhattisgarh
Rajnandagon                           Chhattisgarh
Sakti                                 Chhattisgarh
Sukma                                 Chhattisgarh
Surajpur                              Chhattisgarh
Surguja                               Chhattisgarh
Dadra And Nagar Haveli                Dn Haveli And Dd
North Goa                             Goa
South Goa                             Goa
Ahmadabad                             Gujarat
Amreli                                Gujarat
Anand                                 Gujarat
Arvalli                               Gujarat
Banas Kantha                          Gujarat
Bharuch                               Gujarat
Bhavnagar                             Gujarat
Botad                                 Gujarat
Chhotaudepur                          Gujarat
Dang                                  Gujarat
Devbhumi Dwarka                       Gujarat
Dohad                                 Gujarat
Gandhinagar                           Gujarat
Gir Somnath                           Gujarat
Jamnagar                              Gujarat
Junagadh                              Gujarat
Kachchh                               Gujarat
Kheda                                 Gujarat
Mahesana                              Gujarat
Mahisagar                             Gujarat
Morbi                                 Gujarat
Narmada                               Gujarat
Narmadapuram                          Gujarat
Navsari                               Gujarat
Panch Mahals                          Gujarat
Patan                                 Gujarat
Porbandar                             Gujarat
Rajkot                                Gujarat
Sabar Kantha                          Gujarat
Surat                                 Gujarat
Surendranagar                         Gujarat
Tapi                                  Gujarat
Vadodara                              Gujarat
Valsad                                Gujarat
Ambala                                Haryana
Bhiwani                               Haryana
Charki Dadri                          Haryana
Faridabad                             Haryana
Fatehabad                             Haryana
Gurugram                              Haryana
Hisar                                 Haryana
Jhajjar                               Haryana
Jind                                  Haryana
Kaithal                               Haryana
Karnal                                Haryana
Kurukshetra                           Haryana
Mahendragarh                          Haryana
Mewat                                 Haryana
Palwal                                Haryana
Panchkula                             Haryana
Panipat                               Haryana
Rewari                                Haryana
Rohtak                                Haryana
Sirsa                                 Haryana
Sonipat                               Haryana
Yamunanagar                           Haryana
Chamba                                Himachal Pradesh
Hamirpur                              Himachal Pradesh
Kangra                                Himachal Pradesh
Kinnaur                               Himachal Pradesh
Kullu                                 Himachal Pradesh
Lahul And Spiti                       Himachal Pradesh
Mandi                                 Himachal Pradesh
Shimla                                Himachal Pradesh
Sirmaur                               Himachal Pradesh
Solan                                 Himachal Pradesh
Una                                   Himachal Pradesh
Unakoti                               Himachal Pradesh
Anantnag                              Jammu And Kashmir
Badgam                                Jammu And Kashmir
Bandipora                             Jammu And Kashmir
Baramulla                             Jammu And Kashmir
Doda                                  Jammu And Kashmir
Ganderbal                             Jammu And Kashmir
Jammu                                 Jammu And Kashmir
Kathua                                Jammu And Kashmir
Kishtwar                              Jammu And Kashmir
Kulgam                                Jammu And Kashmir
Kupwara                               Jammu And Kashmir
Poonch                                Jammu And Kashmir
Pulwama                               Jammu And Kashmir
Rajauri                               Jammu And Kashmir
Ramban                                Jammu And Kashmir
Reasi                                 Jammu And Kashmir
Samba                                 Jammu And Kashmir
Shopian                               Jammu And Kashmir
Srinagar                              Jammu And Kashmir
Udhampur                              Jammu And Kashmir
Bokaro                                Jharkhand
Chatra                                Jharkhand
Chatrapati Sambhaji Nagar             Jharkhand
Deoghar                               Jharkhand
Dhanbad                               Jharkhand
Dumka                                 Jharkhand
East Singhbum                         Jharkhand
Garhwa                                Jharkhand
Giridih                               Jharkhand
Godda                                 Jharkhand
Gumla                                 Jharkhand
Hazaribagh                            Jharkhand
Jamtara                               Jharkhand
Khunti                                Jharkhand
Koderma                               Jharkhand
Latehar                               Jharkhand
Lohardaga                             Jharkhand
Pakur                                 Jharkhand
Palamu                                Jharkhand
Ramgarh                               Jharkhand
Ranchi                                Jharkhand
Sahebganj                             Jharkhand
Saraikela Kharsawan                   Jharkhand
Simdega                               Jharkhand
West Singhbhum                        Jharkhand
Bagalkote                             Karnataka
Ballari                               Karnataka
Belagavi                              Karnataka
Bengaluru                             Karnataka
Bengaluru Rural                       Karnataka
Bidar                                 Karnataka
Chamaraja Nagara                      Karnataka
Chikkaballapura                       Karnataka
Chikkamagaluru                        Karnataka
Chitradurga                           Karnataka
Dakshina Kannada                      Karnataka
Davanagere                            Karnataka
Dharwar                               Karnataka
Gadag                                 Karnataka
Hassan                                Karnataka
Haveri                                Karnataka
Kalaburagi                            Karnataka
Kodagu                                Karnataka
Kolar                                 Karnataka
Koppal                                Karnataka
Mandya                                Karnataka
Mysuru                                Karnataka
Raichur                               Karnataka
Ramanagara                            Karnataka
Shivamogga                            Karnataka
Tumakuru                              Karnataka
Udupi                                 Karnataka
Uttara Kannada                        Karnataka
Vijayanagara                          Karnataka
Vijaypura                             Karnataka
Yadgir                                Karnataka
Alappuzha                             Kerala
Ernakulam                             Kerala
Idukki                                Kerala
Kannur                                Kerala
Kasargod                              Kerala
Kollam                                Kerala
Kottayam                              Kerala
Kozhikode                             Kerala
Malappuram                            Kerala
Palakkad                              Kerala
Pathanamthitta                        Kerala
Thiruvananthapuram                    Kerala
Thrissur                              Kerala
Wayanad                               Kerala
Kargil                                Ladakh
Leh (ladakh)                          Ladakh
Lakshadweep District                  Lakshadweep
Agar-malwa                            Madhya Pradesh
Alirajpur                             Madhya Pradesh
Anuppur                               Madhya Pradesh
Ashok Nagar                           Madhya Pradesh
Balaghat                              Madhya Pradesh
Barwani                               Madhya Pradesh
Betul                                 Madhya Pradesh
Bhind                                 Madhya Pradesh
Bhopal                                Madhya Pradesh
Burhanpur                             Madhya Pradesh
Chhatarpur                            Madhya Pradesh
Chhindwara                            Madhya Pradesh
Damoh                                 Madhya Pradesh
Datia                                 Madhya Pradesh
Dewas                                 Madhya Pradesh
Dhar                                  Madhya Pradesh
Dharashiv                             Madhya Pradesh
Dindori                               Madhya Pradesh
Guna                                  Madhya Pradesh
Gwalior                               Madhya Pradesh
Harda                                 Madhya Pradesh
Indore                                Madhya Pradesh
Jabalpur                              Madhya Pradesh
Jayashanker Bhopalapally              Madhya Pradesh
Jhabua                                Madhya Pradesh
Katni                                 Madhya Pradesh
Khandwa                               Madhya Pradesh
Khargone                              Madhya Pradesh
Mandla                                Madhya Pradesh
Mandsaur                              Madhya Pradesh
Morena                                Madhya Pradesh
Narsinghpur                           Madhya Pradesh
Neemuch                               Madhya Pradesh
Niwari                                Madhya Pradesh
Panna                                 Madhya Pradesh
Raisen                                Madhya Pradesh
Rajgarh                               Madhya Pradesh
Ratlam                                Madhya Pradesh
Rewa                                  Madhya Pradesh
Sagar                                 Madhya Pradesh
Satna                                 Madhya Pradesh
